County,Years,Count,Rate
Citrus,2014,33,24.0712545240653
Clay,2014,37,17.9638515800921
Collier,2014,36,9.62404293400492
Columbia,2014,14,20.2609080835578
Miami-Dade,2014,235,8.1838974797822
DeSoto,2014,7,18.4554402647333
Dixie,2014,4,15.024607196469
Duval,2014,119,12.8080263386238
Escambia,2014,58,18.2160474677539
Flagler,2014,20,17.401962425646
Franklin,2014,0,0
Gadsden,2014,7,13.3461304912636
Gilchrist,2014,4,18.3607620456622
Glades,2014,3,18.2382612046224
Gulf,2014,4,26.9619799578147
Hamilton,2014,2,13.536006865299
Hardee,2014,3,9.39636608853484
Hendry,2014,5,13.7648041333612
Hernando,2014,31,17.057664407956
Highlands,2014,23,20.660959053323
Hillsborough,2014,185,13.5211041861319
Holmes,2014,4,18.3900261854932
Indian River,2014,26,14.8168008694558
Jackson,2014,7,11.5853816923817
Jefferson,2014,1,6.04365755266697
Lafayette,2014,0,0
Lake,2014,49,13.738755063199
Lee,2014,144,20.6115129705686
Leon,2014,29,11.5817222784639
Levy,2014,12,25.8682028662232
Liberty,2014,1,10.8613486842105
Madison,2014,2,10.3713231851021
Manatee,2014,57,15.522970716937
Marion,2014,63,15.89821287003
Martin,2014,24,14.8681052608336
Monroe,2014,13,13.7740220385117
Nassau,2014,15,20.3183802780021
Okaloosa,2014,25,13.2900695714618
Okeechobee,2014,8,19.8634022572068
Orange,2014,128,10.0021858988853
Osceola,2014,34,11.0875186632318
Palm Beach,2014,236,14.949345953166
Pasco,2014,114,22.3767769053311
Pinellas,2014,195,17.3140481247351
Polk,2014,82,12.3039710183185
Putnam,2014,14,19.6539153054384
St. Johns,2014,41,17.4698905088544
St. Lucie,2014,46,15.3211515053933
Santa Rosa,2014,32,19.2508019072242
Sarasota,2014,64,15.7535359518874
Seminole,2014,53,11.4884793402108
Sumter,2014,20,18.411248101988
Suwannee,2014,9,17.059685158344
Taylor,2014,4,16.2844065256384
Union,2014,1,7.59164332399627
Volusia,2014,106,19.2834502464971
Wakulla,2014,6,16.7383824558969
Walton,2014,9,13.8546135616414
Washington,2014,4,14.7520581458684
Florida,2013,2892,13.7521234043886
Alachua,2013,31,12.8311746224321
Baker,2013,1,3.49310880829016
Bay,2013,35,18.3985603192476
Bradford,2013,6,19.6703844525825
Brevard,2013,126,21.3906112748377
Broward,2013,210,10.7291297374313
Calhoun,2013,0,0
Charlotte,2013,29,14.8957967492729
Citrus,2013,42,25.0651274793022
Clay,2013,30,16.2159425364939
Collier,2013,37,9.96950467503998
Columbia,2013,13,18.4357956623945
Miami-Dade,2013,215,7.81768372583533
DeSoto,2013,5,12.8755290155002
Dixie,2013,2,12.073700110281
Duval,2013,130,14.5230921177682
Escambia,2013,49,16.3948825806206
Flagler,2013,17,16.9489823995592
Franklin,2013,1,7.47782680639823
Gadsden,2013,8,15.8368812814698
Gilchrist,2013,2,17.6753260869565
Glades,2013,1,10.1887844611529
Gulf,2013,3,14.5416725878486
Hamilton,2013,1,5.04099236641221
Hardee,2013,4,13.8597270652811
Hendry,2013,1,2.4521722985518
Hernando,2013,40,24.7487694508514
Highlands,2013,27,24.7005155297086
Hillsborough,2013,167,12.5811606858974
Holmes,2013,3,14.4646117035493
Indian River,2013,28,18.8828483529025
Jackson,2013,5,8.50055898982597
Jefferson,2013,1,5.93459507042253
Lafayette,2013,0,0
Lake,2013,43,12.6813169397257
Lee,2013,100,14.2477287883193
Leon,2013,36,13.0689330516059
Levy,2013,12,27.6798089533268
Liberty,2013,0,0
Madison,2013,4,19.107709617919
Manatee,2013,69,18.0422560719293
Marion,2013,75,18.8637021678543
Martin,2013,32,21.8752454619773
Monroe,2013,32,44.0701776810329
Nassau,2013,19,20.3575463186976
Okaloosa,2013,44,23.0687196805997
Okeechobee,2013,5,10.9541524443569
Orange,2013,122,9.98502122184284
Osceola,2013,28,9.49025428154083
Palm Beach,2013,214,14.367979127827
Pasco,2013,92,17.4568788492245
Pinellas,2013,168,16.4184592345756
Polk,2013,82,13.0606447940709
Putnam,2013,17,23.7430422944177
St. Johns,2013,42,17.9809749614822
St. Lucie,2013,41,12.2474812165346
Santa Rosa,2013,29,17.6449599941975
Sarasota,2013,85,19.7767172936136
Seminole,2013,61,13.3073292814519
Sumter,2013,24,20.9565443717361
Suwannee,2013,7,13.8272613934209
Taylor,2013,7,25.9731065607786
Union,2013,6,35.2472423495172
Volusia,2013,105,18.8448157523643
Wakulla,2013,5,18.796541043404
Walton,2013,13,18.4100149531995
Washington,2013,1,4.24594425305356
Florida,2012,2922,14.0800992701543
Alachua,2012,35,16.036153103057
Baker,2012,3,10.6524701898435
Bay,2012,37,20.0608293428524
Bradford,2012,7,23.0868970152303
Brevard,2012,123,20.3267445654869
Broward,2012,237,12.1875745348681
Calhoun,2012,3,15.6090218331227
Charlotte,2012,35,23.1392125579538
Citrus,2012,33,21.5526844334227
Clay,2012,33,17.1214383391869
Collier,2012,46,14.2205073529558
Columbia,2012,10,13.1351234496783
Miami-Dade,2012,222,7.96337370656434
DeSoto,2012,7,19.7161584072781
Dixie,2012,3,12.2524028455309
Duval,2012,151,16.9452836866164
Escambia,2012,57,19.5962703026187
Flagler,2012,11,9.55700691841349
Franklin,2012,2,13.1185104567392
Gadsden,2012,7,11.8715337654529
Gilchrist,2012,5,25.0056292475002
Glades,2012,1,10.5034849360139
Gulf,2012,2,9.15801715798426
Hamilton,2012,4,29.0594336607256
Hardee,2012,4,16.7961994894895
Hendry,2012,2,5.67297753925661
Hernando,2012,31,15.6200959299594
Highlands,2012,18,19.6108474083598
Hillsborough,2012,162,12.4736639897032
Holmes,2012,8,31.7107872564487
Indian River,2012,27,17.3422652056791
Jackson,2012,10,19.3996163431957
Jefferson,2012,2,10.2444019675949
Lafayette,2012,1,9.92481698389458
Lake,2012,50,15.1690006556848
Lee,2012,105,15.0351394763852
Leon,2012,45,16.970225106947
Levy,2012,9,22.7476022710444
Liberty,2012,1,15.0983164983165
Madison,2012,3,13.416546682175
Manatee,2012,49,14.6890826393055
Marion,2012,67,19.1970048154387
Martin,2012,30,15.3691297047683
Monroe,2012,19,21.6854437337828
Nassau,2012,17,23.870969629464
Okaloosa,2012,37,19.5449135337023
Okeechobee,2012,7,18.4051122561319
Orange,2012,130,11.2332459034078
Osceola,2012,30,10.7392276564555
Palm Beach,2012,205,14.1668682957898
Pasco,2012,79,16.123778397753
Pinellas,2012,197,19.2123297337606
Polk,2012,65,10.3350332974414
Putnam,2012,11,13.9802804697162
St. Johns,2012,40,19.1416673810409
St. Lucie,2012,48,15.3942759407843
Santa Rosa,2012,33,18.7917589696096
Sarasota,2012,80,17.77312708339
Seminole,2012,54,12.1932873417036
Sumter,2012,10,8.19229504079589
Suwannee,2012,9,17.2883238021671
Taylor,2012,3,9.29628990159082
Union,2012,2,13.7934343795754
Volusia,2012,121,20.7496408007577
