County,Years,Gender,Rate,Count
St. Lucie,2015,Male,29.1,41
Santa Rosa,2015,Male,26.3,23
Sarasota,2015,Male,35.5,77
Seminole,2015,Male,18.9,45
Sumter,2015,Male,19.5,10
Suwannee,2015,Male,30.2,8
Taylor,2015,Male,25,4
Union,2015,Male,51,3
Volusia,2015,Male,35.2,97
Wakulla,2015,Male,29.2,4
Walton,2015,Male,30.5,9
Washington,2015,Male,23.5,3
Alachua,2014,Male,23.7,30
Baker,2014,Male,21.2,3
Bay,2014,Male,37.2,33
Bradford,2014,Male,13.9,2
Brevard,2014,Male,27,87
Broward,2014,Male,17.3,165
Calhoun,2014,Male,13.4,1
Charlotte,2014,Male,30.1,23
Citrus,2014,Male,40.5,26
Clay,2014,Male,25.8,26
Collier,2014,Male,16.3,30
Columbia,2014,Male,26.5,9
Miami-Dade,2014,Male,14,188
DeSoto,2014,Male,19.1,4
Dixie,2014,Male,18.5,3
Duval,2014,Male,20.7,90
Escambia,2014,Male,29.3,45
Flagler,2014,Male,22.1,13
Franklin,2014,Male,0,0
Gadsden,2014,Male,27.4,6
Gilchrist,2014,Male,34.1,4
Glades,2014,Male,32.6,3
Gulf,2014,Male,28.7,2
Hamilton,2014,Male,0,0
Hardee,2014,Male,19.3,3
Hendry,2014,Male,15.8,3
Hernando,2014,Male,26.3,23
Highlands,2014,Male,25.8,15
Hillsborough,2014,Male,20.3,133
Holmes,2014,Male,24.4,3
Indian River,2014,Male,28.2,23
Jackson,2014,Male,21.4,7
Jefferson,2014,Male,0,0
Lafayette,2014,Male,0,0
Lake,2014,Male,25.8,44
Lee,2014,Male,29.6,103
Leon,2014,Male,20.8,25
Levy,2014,Male,50.6,11
Liberty,2014,Male,21.8,1
Madison,2014,Male,6.8,1
Manatee,2014,Male,25.6,44
Marion,2014,Male,26.6,50
Martin,2014,Male,21.6,17
Monroe,2014,Male,26.3,13
Nassau,2014,Male,29.5,11
Okaloosa,2014,Male,19.7,18
Okeechobee,2014,Male,31.1,7
Orange,2014,Male,15.9,100
Osceola,2014,Male,18.8,28
Palm Beach,2014,Male,23.5,177
Pasco,2014,Male,37,93
Pinellas,2014,Male,26.4,145
Polk,2014,Male,20.8,67
Putnam,2014,Male,32.8,11
St. Johns,2014,Male,29.5,32
St. Lucie,2014,Male,24.4,35
Santa Rosa,2014,Male,29.9,26
Sarasota,2014,Male,21.7,39
Seminole,2014,Male,19.8,44
Sumter,2014,Male,28.5,15
Suwannee,2014,Male,33.9,9
Taylor,2014,Male,14.4,2
Union,2014,Male,11,1
Volusia,2014,Male,30.9,82
Wakulla,2014,Male,26.4,5
Walton,2014,Male,18.6,7
Washington,2014,Male,26.8,4
Alachua,2013,Male,17.4,20
Baker,2013,Male,0,0
Bay,2013,Male,32.3,31
Bradford,2013,Male,23.4,4
Brevard,2013,Male,32.5,94
Broward,2013,Male,16.9,158
Calhoun,2013,Male,0,0
Charlotte,2013,Male,28.1,25
Citrus,2013,Male,47.7,37
Clay,2013,Male,26,22
Collier,2013,Male,15.9,30
Columbia,2013,Male,26.9,10
Miami-Dade,2013,Male,13.9,181
DeSoto,2013,Male,15.8,3
Dixie,2013,Male,20.8,2
Duval,2013,Male,24.2,101
Escambia,2013,Male,23,34
Flagler,2013,Male,33.2,16
Franklin,2013,Male,10.6,1
Gadsden,2013,Male,31.3,7
Gilchrist,2013,Male,36.1,2
Glades,2013,Male,15.4,1
Gulf,2013,Male,16.3,2
Hamilton,2013,Male,10.5,1
Hardee,2013,Male,25.6,4
Hendry,2013,Male,4.8,1
Hernando,2013,Male,38.6,31
Highlands,2013,Male,44,24
Hillsborough,2013,Male,21,132
Holmes,2013,Male,23.6,2
Indian River,2013,Male,29.3,22
Jackson,2013,Male,4.9,2
Jefferson,2013,Male,11,1
Lafayette,2013,Male,0,0
Lake,2013,Male,21.9,35
Lee,2013,Male,21.1,75
Leon,2013,Male,19.7,26
Levy,2013,Male,56.9,12
Liberty,2013,Male,0,0
Madison,2013,Male,19.3,2
Manatee,2013,Male,27,48
Marion,2013,Male,30.3,58
Martin,2013,Male,30.2,23
Monroe,2013,Male,68.2,26
Nassau,2013,Male,32.2,16
Okaloosa,2013,Male,33.4,32
Okeechobee,2013,Male,12.5,3
Orange,2013,Male,14.4,84
Osceola,2013,Male,17.2,24
Palm Beach,2013,Male,21,151
Pasco,2013,Male,24.9,65
Pinellas,2013,Male,24.9,124
Polk,2013,Male,22.1,68
Putnam,2013,Male,40,14
St. Johns,2013,Male,27.4,32
St. Lucie,2013,Male,21.2,33
Santa Rosa,2013,Male,25.5,21
Sarasota,2013,Male,30.1,62
Seminole,2013,Male,22.4,49
Sumter,2013,Male,27.7,19
Suwannee,2013,Male,26.1,7
Taylor,2013,Male,36.7,6
Union,2013,Male,44.3,5
Volusia,2013,Male,24.5,68
Wakulla,2013,Male,28.8,3
Walton,2013,Male,31.1,11
Washington,2013,Male,6.7,1
Alachua,2012,Male,22.6,24
Baker,2012,Male,13.8,2
Bay,2012,Male,31.4,28
Bradford,2012,Male,26.5,4
Brevard,2012,Male,32.9,95
Broward,2012,Male,19.5,180
Calhoun,2012,Male,31.6,3
Charlotte,2012,Male,44.8,32
Citrus,2012,Male,32.1,25
Clay,2012,Male,25.5,23
Collier,2012,Male,18.7,32
Columbia,2012,Male,21,8
Miami-Dade,2012,Male,14.3,185
DeSoto,2012,Male,31.2,6
Dixie,2012,Male,6.8,1
Duval,2012,Male,27.4,115
Escambia,2012,Male,31,44
Flagler,2012,Male,13,7
Franklin,2012,Male,10.2,1
Gadsden,2012,Male,21.6,6
Gilchrist,2012,Male,37,4
Glades,2012,Male,0,0
Gulf,2012,Male,7.3,1
Hamilton,2012,Male,41.4,3
Hardee,2012,Male,22.5,3
Hendry,2012,Male,12.6,2
Hernando,2012,Male,17.6,19
Highlands,2012,Male,36.9,17
Hillsborough,2012,Male,20.6,126
Holmes,2012,Male,53,7
Indian River,2012,Male,21.7,16
Jackson,2012,Male,29.4,8
Jefferson,2012,Male,19.9,2
Lafayette,2012,Male,13.9,1
Lake,2012,Male,25.4,41
Lee,2012,Male,19.4,68
Leon,2012,Male,28.8,35
Levy,2012,Male,42.4,7
Liberty,2012,Male,0,0
Madison,2012,Male,26.6,3
Manatee,2012,Male,28,45
Marion,2012,Male,33.3,57
Martin,2012,Male,29.1,27
Monroe,2012,Male,31.4,16
Nassau,2012,Male,46.1,16
Okaloosa,2012,Male,31.1,29
Okeechobee,2012,Male,23.3,5
Orange,2012,Male,17.2,94
Osceola,2012,Male,20.5,26
Palm Beach,2012,Male,21,147
Pasco,2012,Male,26.6,63
Pinellas,2012,Male,26.7,133
Polk,2012,Male,17.4,53
Putnam,2012,Male,20.8,8
St. Johns,2012,Male,30.1,30
St. Lucie,2012,Male,25.1,39
Santa Rosa,2012,Male,27,23
Sarasota,2012,Male,24.5,56
Seminole,2012,Male,18.8,40
Sumter,2012,Male,3.5,6
