,year,record,age,grade,consideration,plan,attempt
3252,2001,1616669,5.0,2.0,1.0,2.0,1.0
3272,2001,1616689,5.0,2.0,1.0,1.0,1.0
3279,2001,1616696,5.0,3.0,1.0,1.0,1.0
3281,2001,1616698,5.0,2.0,1.0,1.0,1.0
3284,2001,1616701,5.0,1.0,1.0,1.0,1.0
3290,2001,1616707,5.0,3.0,1.0,1.0,1.0
3295,2001,1616712,5.0,2.0,1.0,1.0,1.0
3298,2001,1616715,5.0,2.0,1.0,2.0,1.0
3303,2001,1616720,5.0,2.0,2.0,1.0,1.0
3311,2001,1616728,5.0,2.0,1.0,1.0,1.0
3316,2001,1616733,5.0,1.0,1.0,1.0,1.0
3326,2001,1616743,5.0,3.0,1.0,1.0,1.0
3334,2001,1616751,5.0,2.0,1.0,1.0,1.0
3363,2001,1616780,5.0,2.0,1.0,2.0,1.0
3365,2001,1616782,5.0,3.0,1.0,2.0,1.0
3368,2001,1616785,5.0,3.0,1.0,1.0,1.0
3383,2001,1616800,5.0,2.0,1.0,1.0,1.0
3416,2001,1616833,5.0,1.0,1.0,1.0,1.0
3429,2001,1616846,5.0,1.0,1.0,1.0,1.0
3434,2001,1616851,5.0,1.0,1.0,1.0,1.0
3442,2001,1616859,5.0,2.0,1.0,2.0,1.0
3450,2001,1616867,5.0,3.0,1.0,2.0,1.0
3459,2001,1616876,5.0,2.0,1.0,1.0,1.0
3462,2001,1911810,6.0,3.0,2.0,1.0,1.0
3496,2001,1911844,6.0,3.0,1.0,2.0,1.0
3499,2001,1911847,6.0,3.0,1.0,2.0,1.0
3505,2001,1911853,6.0,3.0,1.0,1.0,1.0
3525,2001,1911873,6.0,4.0,1.0,1.0,1.0
3527,2001,1911875,6.0,3.0,1.0,1.0,1.0
3531,2001,1911879,6.0,3.0,1.0,1.0,1.0
3564,2001,1911912,6.0,4.0,2.0,1.0,1.0
3572,2001,1911920,6.0,4.0,1.0,1.0,1.0
3576,2001,1911924,6.0,3.0,1.0,1.0,1.0
3613,2001,1911961,6.0,3.0,1.0,1.0,1.0
3625,2001,1911973,6.0,3.0,1.0,1.0,1.0
