"Suicides by Drug Poisoning, Rate Per 100,000 Population",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,
County,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV
Osceola,5,"388,132",1.3,1.1,5,"368,678",1.4,1.2,6,"360,426",1.7,1.3,4,"339,470",1.2,,4,"326,342.00",1.2,,5,"311,980",1.6,1.4,5,"298,228",1.7,1.5,4,"289,971",1.4,,4,282802,1.4,,4,"275,464",1.5,
Palm Beach,17,"1,469,904",1.2,0.5,40,"1,458,576",2.7,0.8,46,"1,442,281",3.2,0.9,53,"1,411,054",3.8,1,60,"1,395,117.00",4.3,1.1,56,"1,382,134",4.1,1.1,51,"1,364,815",3.7,1,41,"1,348,740",3,0.9,51,1337906,3.8,1,37,"1,327,798",2.8,0.9
Pasco,15,"539,769",2.8,1.4,9,"527,174",1.7,1.1,12,"518,639",2.3,1.3,10,"507,081",2,1.2,17,"497,991.00",3.4,1.6,18,"489,691",3.7,1.7,10,"481,215",2.1,1.3,17,"474,903",3.6,1.7,14,469592,3,1.6,18,"466,873",3.9,1.8
Pinellas,24,"986,400",2.4,1,25,"979,558",2.6,1,28,"971,022",2.9,1.1,21,"961,253",2.2,0.9,35,"956,302.00",3.7,1.2,29,"947,783",3.1,1.1,28,"935,833",3,1.1,26,"928,107",2.8,1.1,51,921628,5.5,1.5,28,"918,847",3,1.1
Polk,5,"707,191",0.7,0.6,20,"688,770",2.9,1.3,15,"681,691",2.2,1.1,19,"663,999",2.9,1.3,13,"650,552.00",2,1.1,11,"636,234",1.7,1,19,"625,439",3,1.4,7,"616,211",1.1,0.8,12,608174,2,1.1,19,"605,141",3.1,1.4
Putnam,2,"73,355",2.7,,1,"73,012",1.4,,2,"73,422",2.7,,3,"73,068",4.1,,1,"73,004.00",1.4,,0,"72,821",0,,2,"72,564",2.8,,2,"72,545",2.8,,2,72965,2.7,,1,"73,864",1.4,
St. Johns,6,"266,128",2.3,1.8,5,"249,734",2,1.8,2,"241,545",0.8,,5,"229,272",2.2,1.9,4,"222,006.00",1.8,,5,"215,185",2.3,2,6,"208,934",2.9,2.3,6,"203,022",3,2.4,7,197262,3.5,2.6,2,"193,516",1,
St. Lucie,2,"316,620",0.6,,5,"309,073",1.6,1.4,9,"304,743",3,1.9,5,"299,962",1.7,1.5,7,"294,144.00",2.4,1.8,10,"289,055",3.5,2.1,7,"283,817",2.5,1.8,5,"281,371",1.8,1.6,9,280530,3.2,2.1,6,"279,907",2.1,1.7
Santa Rosa,4,"183,633",2.2,,3,"179,875",1.7,,4,"175,552",2.3,,1,"171,851",0.6,,4,"168,026.00",2.4,,4,"163,892",2.4,,3,"160,475",1.9,,2,"157,923",1.3,,4,155674,2.6,,2,"155,225",1.3,
Sarasota,18,"434,853",4.1,1.9,11,"426,977",2.6,1.5,22,"415,896",5.3,2.2,14,"407,501",3.4,1.8,12,"401,316.00",3,1.7,11,"393,850",2.8,1.7,14,"388,037",3.6,1.9,20,"385,619",5.2,2.3,15,384157,3.9,2,13,"381,881",3.4,1.9
